"Story","Title","Result","Date","Stability","Duration (s)"
"Register","Success POST register","SUCCESS","2022-04-19T05:37:34.563+07:00[Asia/Jakarta]","0.0","15.13"
"Register","Unsuccess POST register","SUCCESS","2022-04-19T05:37:49.725+07:00[Asia/Jakarta]","0.0","0.98"
